GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent as a percentage of household income,Margin of Error; Median gross rent as a percentage of household income
8600000US12124,12124,ZCTA5 12124,$10.0-,$***
8600000US12130,12130,ZCTA5 12130,$-,$**
8600000US12131,12131,ZCTA5 12131,$50.0+,$***
8600000US12136,12136,ZCTA5 12136,$-,$**
8600000US12139,12139,ZCTA5 12139,$-,$**
8600000US12148,12148,ZCTA5 12148,$50.0+,$***
8600000US12153,12153,ZCTA5 12153,$-,$**
8600000US12160,12160,ZCTA5 12160,$50.0+,$***
8600000US12161,12161,ZCTA5 12161,$-,$**
8600000US12169,12169,ZCTA5 12169,$50.0+,$***
8600000US12172,12172,ZCTA5 12172,$-,$**
8600000US12194,12194,ZCTA5 12194,$50.0+,$***
8600000US12222,12222,ZCTA5 12222,$-,$**
8600000US12407,12407,ZCTA5 12407,$50.0+,$***
8600000US12409,12409,ZCTA5 12409,$50.0+,$***
8600000US12412,12412,ZCTA5 12412,$50.0+,$***
8600000US12416,12416,ZCTA5 12416,$50.0+,$***
8600000US12418,12418,ZCTA5 12418,$50.0+,$***
8600000US12420,12420,ZCTA5 12420,$-,$**
8600000US12422,12422,ZCTA5 12422,$-,$**
8600000US12424,12424,ZCTA5 12424,$50.0+,$***
8600000US12427,12427,ZCTA5 12427,$-,$**
8600000US12429,12429,ZCTA5 12429,$-,$**
8600000US12435,12435,ZCTA5 12435,$-,$**
8600000US12436,12436,ZCTA5 12436,$-,$**
8600000US12438,12438,ZCTA5 12438,$-,$**
8600000US12439,12439,ZCTA5 12439,$-,$**
8600000US12441,12441,ZCTA5 12441,$-,$**
8600000US12448,12448,ZCTA5 12448,$50.0+,$***
8600000US12450,12450,ZCTA5 12450,$-,$**
8600000US12453,12453,ZCTA5 12453,$-,$**
8600000US12454,12454,ZCTA5 12454,$-,$**
8600000US12456,12456,ZCTA5 12456,$-,$**
8600000US12459,12459,ZCTA5 12459,$-,$**
8600000US12460,12460,ZCTA5 12460,$-,$**
8600000US12461,12461,ZCTA5 12461,$50.0+,$***
8600000US12469,12469,ZCTA5 12469,$-,$**
8600000US12471,12471,ZCTA5 12471,$-,$**
8600000US12473,12473,ZCTA5 12473,$-,$**
8600000US12475,12475,ZCTA5 12475,$50.0+,$***
8600000US12480,12480,ZCTA5 12480,$-,$**
8600000US12481,12481,ZCTA5 12481,$-,$**
8600000US12484,12484,ZCTA5 12484,$50.0+,$***
8600000US12490,12490,ZCTA5 12490,$-,$**
8600000US12494,12494,ZCTA5 12494,$50.0+,$***
8600000US12495,12495,ZCTA5 12495,$50.0+,$***
8600000US12504,12504,ZCTA5 12504,$-,$**
8600000US12507,12507,ZCTA5 12507,$-,$**
8600000US12512,12512,ZCTA5 12512,$-,$**
8600000US12513,12513,ZCTA5 12513,$-,$**
8600000US12515,12515,ZCTA5 12515,$50.0+,$***
8600000US12516,12516,ZCTA5 12516,$50.0+,$***
8600000US12517,12517,ZCTA5 12517,$50.0+,$***
8600000US12530,12530,ZCTA5 12530,$-,$**
8600000US12531,12531,ZCTA5 12531,$50.0+,$***
8600000US12575,12575,ZCTA5 12575,$-,$**
8600000US12577,12577,ZCTA5 12577,$50.0+,$***
8600000US12604,12604,ZCTA5 12604,$-,$**
8600000US12720,12720,ZCTA5 12720,$-,$**
8600000US12722,12722,ZCTA5 12722,$-,$**
8600000US12724,12724,ZCTA5 12724,$-,$**
8600000US12734,12734,ZCTA5 12734,$50.0+,$***
8600000US12738,12738,ZCTA5 12738,$-,$**
8600000US12743,12743,ZCTA5 12743,$50.0+,$***
8600000US12750,12750,ZCTA5 12750,$50.0+,$***
8600000US12759,12759,ZCTA5 12759,$50.0+,$***
8600000US12762,12762,ZCTA5 12762,$50.0+,$***
8600000US12765,12765,ZCTA5 12765,$-,$**
8600000US12766,12766,ZCTA5 12766,$-,$**
8600000US12767,12767,ZCTA5 12767,$50.0+,$***
8600000US12769,12769,ZCTA5 12769,$-,$**
8600000US12770,12770,ZCTA5 12770,$-,$**
8600000US12778,12778,ZCTA5 12778,$-,$**
8600000US12780,12780,ZCTA5 12780,$50.0+,$***
8600000US12784,12784,ZCTA5 12784,$-,$**
8600000US12785,12785,ZCTA5 12785,$-,$**
8600000US12786,12786,ZCTA5 12786,$50.0+,$***
8600000US12787,12787,ZCTA5 12787,$-,$**
8600000US12808,12808,ZCTA5 12808,$50.0+,$***
8600000US12810,12810,ZCTA5 12810,$10.0-,$***
8600000US12811,12811,ZCTA5 12811,$-,$**
8600000US12812,12812,ZCTA5 12812,$10.0-,$***
8600000US12821,12821,ZCTA5 12821,$-,$**
8600000US12823,12823,ZCTA5 12823,$-,$**
8600000US12837,12837,ZCTA5 12837,$50.0+,$***
8600000US12838,12838,ZCTA5 12838,$50.0+,$***
8600000US12841,12841,ZCTA5 12841,$-,$**
8600000US12844,12844,ZCTA5 12844,$-,$**
8600000US12849,12849,ZCTA5 12849,$-,$**
8600000US12852,12852,ZCTA5 12852,$10.0-,$***
8600000US12855,12855,ZCTA5 12855,$10.0-,$***
8600000US12856,12856,ZCTA5 12856,$-,$**
8600000US12858,12858,ZCTA5 12858,$-,$**
8600000US12862,12862,ZCTA5 12862,$-,$**
8600000US12863,12863,ZCTA5 12863,$50.0+,$***
8600000US12864,12864,ZCTA5 12864,$-,$**
8600000US12872,12872,ZCTA5 12872,$-,$**
8600000US12874,12874,ZCTA5 12874,$-,$**
